"Nome da conta","Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Identificação da conta","Identificação da campanha","Identificação do conjunto de anúncios","Identificação do anúncio",Anúncios,Idade,Gênero,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Cliques no link","CTR (todos)","CPM (custo por 1.000 impressões)","CPC (custo por clique no link)","CPC (todos)",Visualizações,"Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Orçamento da campanha","Tipo de orçamento da campanha","Início dos relatórios","Término dos relatórios"
"Conta Haojue Sun Motors",CP04_dr-160_[inicio_01/01],"[Amanita] Always On | DR160 - Amplo",AD07_dr160_img_[06/01],184629203219671,120218349708790298,120218349708850298,120237818342340298,AD07_dr160_img_[06/01],18-24,unknown,2026-02-28,4,4,1,BRL,0.03,"Clique de 7 dias ou visualização de 1 dia",,,,0,7.5,,0,,"Using campaign budget",Daily,25,Daily,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CPE04_[carnaval_ofertas_inicio_02/02]],CJE01_[carnaval_ofertas],AD011_t-350-x_img_[06/02],184629203219671,120238736778790298,120238736778820298,120239028297650298,AD011_t-350-x_img_[06/02],18-24,unknown,2026-02-28,11,12,1.09090909,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,5,,0,,"Using campaign budget",Daily,40,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS","AD Versatilidade - Bongo - Frete sem preço",277844195704332,6662637016215,6662637322615,6853552721615,"AD Versatilidade - Bongo - Frete sem preço",25-34,female,2026-02-28,9,11,1.22222222,BRL,0.06,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.45454545,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP02_stonic_[inicio_01/01],"[Amanita] Always On | KIA STONIC | Amplo",AD04_stonic_img_[05/12],277844195704332,6875080103815,6875080104415,6953692882815,AD04_stonic_img_[05/12],25-34,female,2026-02-28,1,1,1,BRL,0,"Clique de 7 dias ou visualização de 1 dia",,,,0,0,,0,,"Using campaign budget",Daily,10,Daily,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP02_gsx-8s_[inicio_01/01],"[Amanita] Suzuki - GSX-8S - Amplo","AD02 - GSX-8S",722911362773979,120211251061830599,120211847192070599,120211847192060599,"AD02 - GSX-8S",25-34,female,2026-02-28,33,37,1.12121212,BRL,0.43,"Clique de 7 dias ou visualização de 1 dia",,,,0,11.62162162,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CP06_bongo_[inicio_01/01],"cj02 - AMPLO - Imagem- RS",AD07_bongo_video_[19/02],277844195704332,6662637016215,6662637322615,6983267035215,AD07_bongo_video_[19/02],25-34,female,2026-02-28,6,9,1.5,BRL,0.05,"Clique de 7 dias ou visualização de 1 dia",,,,0,5.55555556,,0,,30,Daily,"Using ad set budget",,2026-02-28,2026-02-28
"Conta Haojue Sun Motors",CP06_master-ride-150_[inicio_08/09],CJ01_master_ride_amplo,AD01_master_ride_img_[08/09],184629203219671,120231323193670298,120231323193700298,120231323193930298,AD01_master_ride_img_[08/09],25-34,female,2026-02-28,8,9,1.125,BRL,0.13,"Clique de 7 dias ou visualização de 1 dia",0.13,1,1,22.22222222,14.44444444,0.13,0.065,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
"Conta Kia Sun Motors",CPE04_festival-seminovos_[inicio_11/02],CJE_amplo_seminovos_diversos,AD01_seminovos_img_[12/11],277844195704332,6980813028015,6980813028615,6980813028415,AD01_seminovos_img_[12/11],25-34,female,2026-02-28,11,11,1,BRL,0.07,"Clique de 7 dias ou visualização de 1 dia",,,,0,6.36363636,,0,,"Using campaign budget",Daily,20,Daily,2026-02-28,2026-02-28
"Conta Zontes",CP08_tactic-400_[inicio_30/11],CJ01_tactic400_Amplo,AD04_tactic400_img_[29/11],7658357130952021,120224545592140714,120224545592160714,120236521361910714,AD04_tactic400_img_[29/11],25-34,female,2026-02-28,12,12,1,BRL,0.12,"Clique de 7 dias ou visualização de 1 dia",,,,0,10,,0,,"Using campaign budget",Daily,8,Daily,2026-02-28,2026-02-28
"Conta Suzuki Sun Motors",CP06_gsx-8r_[inicio_08/09],CJ01_gsx-8r_amplo,AD05_gsx_8r_img_[25/09],722911362773979,120231169848870599,120231169848990599,120232140918400599,AD05_gsx_8r_img_[25/09],25-34,female,2026-02-28,32,37,1.15625,BRL,0.98,"Clique de 7 dias ou visualização de 1 dia",,,3,5.40540541,26.48648649,0.32666667,0.49,,"Using campaign budget",Daily,15,Daily,2026-02-28,2026-02-28
